time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010523349642	159.044	27.7843	3.64755	1.72504e+15	2.48351e+13	radar	0	161.529	27.8454	161.493	27.4891	2.65371	1.33344
1477010524349642	159.044	27.7843	3.64755	1.74987e+15	2.48351e+13	lidar	0	163.625	28.7683	164.155	28.8064	2.64354	1.28825
1477010524349642	159.754	31.3227	-0.529483	1.74987e+15	2.48351e+13	radar	0	164.116	29.315	164.155	28.8064	2.64354	1.28825
1477010525349642	159.754	31.3227	-0.529483	1.77471e+15	2.48351e+13	lidar	0	166.828	30.2062	166.809	30.0721	2.63006	1.22694
1477010525349642	162.693	36.8201	-6.5461	1.77471e+15	2.48351e+13	radar	0	166.748	29.7121	166.809	30.0721	2.63006	1.22694
1477010526349642	162.693	36.8201	-6.5461	1.79954e+15	2.48351e+13	lidar	0	169.097	31.3717	169.452	31.2706	2.61238	1.15075
1477010526349642	167.265	34.3216	3.5002	1.79954e+15	2.48351e+13	radar	0	169.345	30.7063	169.452	31.2706	2.61238	1.15075
1477010527349642	167.265	34.3216	3.5002	1.82438e+15	2.48351e+13	lidar	0	172.175	32.3404	172.079	32.3873	2.58945	1.06126
1477010527349642	168.461	36.1491	7.1607	1.82438e+15	2.48351e+13	radar	0	172.135	32.6666	172.079	32.3873	2.58945	1.06126
1477010528349642	168.461	36.1491	7.1607	1.84921e+15	2.48351e+13	lidar	0	174.643	33.4625	174.685	33.4095	2.56021	0.960341
1477010528349642	169.601	34.8368	-1.4143	1.84921e+15	2.48351e+13	radar	0	174.474	33.9157	174.685	33.4095	2.56021	0.960341
1477010529349642	169.601	34.8368	-1.4143	1.87405e+15	2.48351e+13	lidar	0	177.03	34.2009	177.261	34.3262	2.52363	0.850119
1477010529349642	172.886	31.1032	0.611583	1.87405e+15	2.48351e+13	radar	0	177.211	33.8467	177.261	34.3262	2.52363	0.850119
1477010530349642	172.886	31.1032	0.611583	1.89888e+15	2.48351e+13	lidar	0	180.145	35.1423	179.799	35.1289	2.47883	0.732949
1477010530349642	177.815	31.4447	5.81208	1.89888e+15	2.48351e+13	radar	0	179.543	35.4767	179.799	35.1289	2.47883	0.732949
1477010531349642	177.815	31.4447	5.81208	1.92372e+15	2.48351e+13	lidar	0	182.599	35.753	182.292	35.8114	2.42515	0.611338
1477010531349642	182.508	31.5663	-2.96569	1.92372e+15	2.48351e+13	radar	0	182.047	36.2626	182.292	35.8114	2.42515	0.611338
1477010532349642	182.508	31.5663	-2.96569	1.94855e+15	2.48351e+13	lidar	0	184.732	36.5155	184.73	36.37	2.36226	0.487877
1477010532349642	183.332	32.2977	-1.80012	1.94855e+15	2.48351e+13	radar	0	184.833	36.1451	184.73	36.37	2.36226	0.487877
1477010533349642	183.332	32.2977	-1.80012	1.97339e+15	2.48351e+13	lidar	0	186.946	36.9404	187.103	36.804	2.29017	0.365145
1477010533349642	187.075	33.7845	3.08215	1.97339e+15	2.48351e+13	radar	0	187.296	36.9375	187.103	36.804	2.29017	0.365145
1477010534349642	187.075	33.7845	3.08215	1.99822e+15	2.48351e+13	lidar	0	189.465	37.4052	189.401	37.1147	2.20928	0.245623
